id,host_id,price,neighbourhood,room_type,number_of_reviews,property_type,accommodates,bedrooms,bathrooms,price_raw,price_outlier_iqr
35493651,267029490,130.0,Grandview-Woodland,Entire home/apt,98,Entire rental unit,4,2.0,1.0,$130.00,False
35494223,267034716,380.0,Grandview-Woodland,Entire home/apt,53,Entire home,5,2.0,1.5,$380.00,False
35496439,98451868,244.0,Kitsilano,Entire home/apt,228,Entire guest suite,2,1.0,1.0,$244.00,False
35520243,196966702,226.0,Downtown Eastside,Entire home/apt,31,Entire rental unit,4,2.0,2.5,$226.00,False
35582089,36835547,110.0,Renfrew-Collingwood,Entire home/apt,26,Entire home,3,2.0,1.5,$110.00,False
35611230,267909838,319.0,West End,Entire home/apt,1,Entire rental unit,2,1.0,1.0,$319.00,False
35614424,238308886,99.0,West End,Entire home/apt,12,Entire condo,2,1.0,1.0,$99.00,False
35615014,109944606,130.0,Marpole,Entire home/apt,253,Entire guest suite,2,1.0,1.0,$130.00,False
35619056,267978632,163.0,Grandview-Woodland,Entire home/apt,205,Entire guest suite,4,2.0,1.0,$163.00,False
35722840,268715000,185.0,Riley Park,Entire home/apt,132,Entire condo,2,1.0,1.0,$185.00,False
35740659,50938049,108.0,Hastings-Sunrise,Entire home/apt,482,Entire guest suite,2,0.0,1.0,$108.00,False
35773343,269129683,236.0,Downtown,Entire home/apt,291,Entire condo,4,1.0,1.0,$236.00,False
35805334,20133146,180.0,Mount Pleasant,Entire home/apt,32,Entire condo,4,2.0,2.0,$180.00,False
35809985,269391225,703.0,Downtown,Entire home/apt,15,Entire townhouse,4,2.0,1.5,$703.00,True
35865746,210222551,111.0,Riley Park,Private room,26,Private room in home,1,1.0,1.0,$111.00,False
35869904,45042754,300.0,Downtown,Entire home/apt,30,Entire condo,3,1.0,1.0,$300.00,False
35873478,139891966,90.0,Fairview,Entire home/apt,5,Entire condo,3,1.0,1.0,$90.00,False
35922487,40505280,109.0,Sunset,Entire home/apt,222,Entire home,4,2.0,1.0,$109.00,False
35939545,238308886,90.0,West End,Entire home/apt,22,Entire serviced apartment,2,0.0,1.0,$90.00,False
35998238,270582044,91.0,Kensington-Cedar Cottage,Private room,117,Private room in villa,2,1.0,1.5,$91.00,False
36002071,177934008,220.0,Downtown,Entire home/apt,16,Entire rental unit,4,1.0,1.0,$220.00,False
36069114,99742848,202.0,Strathcona,Entire home/apt,246,Entire loft,4,0.0,1.0,$202.00,False
36078854,145231749,150.0,Kitsilano,Entire home/apt,0,Entire rental unit,4,2.0,2.0,$150.00,False
36080573,194562653,135.0,Mount Pleasant,Entire home/apt,11,Entire condo,2,1.0,1.0,$135.00,False
36182407,238308886,99.0,West End,Entire home/apt,11,Entire serviced apartment,2,1.0,1.0,$99.00,False
36184870,191022159,101.0,Grandview-Woodland,Entire home/apt,202,Entire rental unit,4,1.0,1.0,$101.00,False
